latitude,longitude,brightness,frp,bright_t31,acq_date,acq_time,satellite,confidence,daynight,NOM_DEP,NOM_PROV,NOM_MUN,HECTARES
-14.94489,-61.45134,327.16,1.89,295.75,2024-09-03,557,N,n,N,Santa Cruz,Velasco,San Ignacio de Velasco,4910231.16
-15.47649,-62.44269,326.42,6.46,301.35,2024-09-10,525,N,n,N,Santa Cruz,Ñuflo De Chavez,Concepción,3510852.308
-15.19577,-60.64198,353.8,23.61,308.54,2024-08-28,1702,N,n,D,Santa Cruz,Velasco,San Ignacio de Velasco,4910231.16
-15.42782,-65.29271,342.63,6.34,314.76,2024-09-10,1758,N,l,D,Beni,Moxos,San Ignacio,2001132.642
-15.65436,-61.16496,305.81,3.42,291.94,2024-08-07,447,N20,n,N,Santa Cruz,Velasco,San Ignacio de Velasco,4910231.16
-14.88681,-62.2999,332.76,17.36,300.74,2024-09-26,548,N20,n,N,Santa Cruz,Ñuflo De Chavez,Concepción,3510852.308
-17.42892,-59.54144,307.04,2.82,294.39,2024-09-03,441,N20,n,N,Santa Cruz,Chiquitos,San Jose de Chiquitos,1912059.482
-18.29953,-57.70654,342.43,4.06,300.37,2024-09-12,512,N20,n,N,Santa Cruz,German Busch,Puerto Quijarro,145026.251
-18.41029,-57.65328,367.0,30.96,312.26,2024-08-20,1751,N,h,D,Santa Cruz,German Busch,Puerto Quijarro,145026.251
-14.47783,-61.71955,307.7,1.38,291.24,2024-10-11,543,N,n,N,Santa Cruz,Velasco,San Ignacio de Velasco,4910231.16
-15.2452,-63.37353,335.67,2.15,295.26,2024-09-10,525,N,n,N,Santa Cruz,Guarayos,Ascención de Guarayos,867384.615
-18.38938,-63.32202,342.72,10.49,307.31,2024-10-08,1731,N,n,D,Santa Cruz,Cordillera,Cabezas,505815.887
-15.98249,-63.06787,342.49,39.26,302.03,2024-11-10,1713,N,n,D,Santa Cruz,Guarayos,Ascención de Guarayos,867384.615
-14.88297,-63.96918,331.97,1.95,302.89,2024-08-16,1751,N20,l,D,Beni,Marban,San Andrés,935478.015
-15.21161,-61.40055,351.26,6.93,308.91,2024-08-21,1733,N,n,D,Santa Cruz,Velasco,San Ignacio de Velasco,4910231.16
-17.0559,-59.566,343.2,47.2,308.8,2024-09-10,1838,Aqua,89,D,Santa Cruz,Chiquitos,San Jose de Chiquitos,1912059.482
-16.15028,-61.65097,333.31,7.15,301.23,2024-09-09,1816,N,n,D,Santa Cruz,Velasco,San Ignacio de Velasco,4910231.16
-16.3033,-61.334,326.3,21.7,289.2,2024-04-07,1354,Terra,82,D,Santa Cruz,Velasco,San Miguel de Velasco,954415.805
-16.15152,-61.67007,302.74,0.66,290.11,2024-08-15,513,N,n,N,Santa Cruz,Velasco,San Ignacio de Velasco,4910231.16
-13.791,-63.2264,317.3,46.0,297.3,2024-08-06,1759,Aqua,64,D,Beni,Itenez,Baures,1761607.494
-16.3198,-64.2696,319.4,10.0,298.3,2024-10-24,1352,Terra,59,D,Santa Cruz,Ichilo,Yapacaní,951411.755
-17.61667,-58.26718,345.67,15.7,306.51,2024-08-21,1756,N20,n,D,Santa Cruz,Angel Sandoval,San Matías,2708229.504
-18.06141,-57.76783,308.62,1.54,292.61,2024-09-24,446,N20,n,N,Santa Cruz,German Busch,Puerto Suarez,1298155.148
-13.90624,-63.28252,344.29,13.47,295.64,2024-10-01,1828,N20,n,D,Beni,Itenez,Baures,1761607.494
